NGO_Location,Crisis_Level,Days_Since_Last_Supply,People_Count,Water_Stock_Liters,Food_Stock_Kg,Medicine_Units,Blankets_Count,Fuel_Liters,Supplies_Short
West Outpost,High,12,600,891,916,112,425,548,"Water, Medicine, Blankets"
Central Command,Severe,2,976,374,993,250,274,0,"Water, Food, Medicine, Blankets, Fuel"
East Camp,Moderate,3,131,7,963,475,712,910,Water
Central Command,Severe,12,405,340,536,250,283,548,"Water, Food, Blankets"
Central Command,Moderate,11,307,128,1102,302,172,140,"Water, Blankets"
South Shelter,Low,1,767,775,1603,458,326,743,"Water, Blankets"
East Camp,Severe,1,638,668,1196,312,717,647,"Water, Medicine"
East Camp,Low,0,573,351,1979,117,62,900,"Water, Medicine, Blankets"
East Camp,Moderate,14,344,357,1035,300,72,187,"Water, Blankets"
Central Command,Severe,4,273,516,1823,160,762,127,Water
West Outpost,Severe,3,574,494,127,400,635,200,"Water, Food"
East Camp,High,10,95,85,1631,197,374,126,Water
Central Command,High,9,716,174,91,259,632,256,"Water, Food, Medicine"
South Shelter,High,14,162,801,1676,147,507,675,None
West Outpost,Moderate,1,282,192,542,239,786,546,Water
South Shelter,Moderate,2,66,310,845,46,397,193,None
West Outpost,High,6,409,118,1555,474,119,702,"Water, Blankets"
Central Command,High,6,272,217,1681,398,436,103,Water
North Base,High,11,915,426,988,197,675,534,"Water, Food, Medicine, Blankets"
West Outpost,High,3,749,969,1851,46,464,264,"Water, Medicine, Blankets"
South Shelter,Low,4,497,413,446,77,285,801,"Water, Food, Medicine, Blankets"
Central Command,High,4,905,113,389,123,264,941,"Water, Food, Medicine, Blankets"
West Outpost,Low,5,414,977,671,74,319,973,"Medicine, Blankets"
North Base,High,13,724,144,1884,358,672,383,"Water, Medicine"
North Base,High,8,375,537,42,136,375,259,"Water, Food, Medicine"
East Camp,Severe,1,516,647,253,89,88,413,"Water, Food, Medicine, Blankets"
East Camp,Moderate,4,463,302,1153,399,653,990,Water
South Shelter,Moderate,11,504,743,1083,324,202,357,"Water, Blankets"
West Outpost,Moderate,2,635,880,662,499,738,74,"Water, Food, Fuel"
West Outpost,High,3,282,587,466,60,333,354,Medicine
East Camp,High,9,273,986,286,137,221,583,Food
West Outpost,Moderate,5,880,839,1010,49,40,770,"Water, Food, Medicine, Blankets"
West Outpost,Low,11,461,344,1540,258,707,909,Water
North Base,High,7,621,813,1490,460,67,187,"Water, Blankets"
East Camp,Low,0,384,963,1953,106,775,972,Medicine
Central Command,Severe,9,271,800,777,112,513,684,Medicine
East Camp,High,13,86,0,344,349,636,991,Water
Central Command,Low,7,327,146,641,253,621,289,Water
North Base,Low,10,245,286,381,117,597,44,"Water, Medicine, Fuel"
South Shelter,Severe,13,965,975,1802,492,631,572,"Water, Blankets"
West Outpost,Moderate,6,913,653,689,197,126,82,"Water, Food, Medicine, Blankets, Fuel"
North Base,Moderate,0,533,52,1276,336,254,122,"Water, Blankets"
West Outpost,Severe,1,291,303,1950,364,694,357,Water
South Shelter,Severe,2,373,68,1079,50,15,527,"Water, Medicine, Blankets"
South Shelter,Severe,0,780,360,1486,244,476,65,"Water, Medicine, Blankets, Fuel"
North Base,High,13,241,601,456,402,61,935,Blankets
South Shelter,Moderate,8,66,957,982,425,431,656,None
Central Command,Low,7,573,219,82,34,669,374,"Water, Food, Medicine"
South Shelter,High,1,967,961,1928,301,267,161,"Water, Medicine, Blankets"
West Outpost,High,12,450,703,1122,409,34,745,"Water, Blankets"
West Outpost,High,8,955,965,148,498,778,379,"Water, Food"
West Outpost,Severe,6,935,574,1352,68,575,655,"Water, Food, Medicine, Blankets"
West Outpost,Moderate,8,754,584,1179,348,493,357,"Water, Medicine, Blankets"
Central Command,High,5,71,160,189,319,561,187,None
East Camp,Low,5,523,680,1517,420,468,321,Water
North Base,High,10,169,88,882,467,766,449,Water
West Outpost,Low,13,259,687,262,48,660,473,"Food, Medicine"
South Shelter,Moderate,3,355,780,1103,404,324,12,Fuel
West Outpost,Moderate,9,319,584,399,73,303,183,"Water, Food, Medicine"
South Shelter,High,9,753,756,763,191,275,110,"Water, Food, Medicine, Blankets"
South Shelter,High,12,736,588,608,260,683,926,"Water, Food, Medicine"
West Outpost,High,12,334,158,1283,355,200,507,"Water, Blankets"
Central Command,Severe,1,765,488,1795,69,444,289,"Water, Medicine, Blankets"
South Shelter,Moderate,6,725,970,1638,89,323,294,"Water, Medicine, Blankets"
South Shelter,Moderate,4,812,323,1575,259,34,450,"Water, Medicine, Blankets"
West Outpost,Severe,10,276,609,784,125,481,903,Medicine
South Shelter,Moderate,5,997,380,100,230,727,214,"Water, Food, Medicine, Blankets"
South Shelter,Severe,1,430,101,1382,294,479,973,Water
West Outpost,Low,4,509,493,1403,497,64,631,"Water, Blankets"
West Outpost,Severe,9,56,643,819,418,7,893,Blankets
North Base,Low,3,78,613,1244,128,300,566,None
Central Command,Severe,8,956,18,819,279,342,26,"Water, Food, Medicine, Blankets, Fuel"
Central Command,High,5,82,453,419,312,430,629,None
South Shelter,Severe,1,695,481,123,99,423,732,"Water, Food, Medicine, Blankets"
Central Command,Low,0,928,593,421,325,331,230,"Water, Food, Medicine, Blankets"
South Shelter,High,4,128,396,1254,296,437,564,None
North Base,Severe,8,977,278,1713,181,587,806,"Water, Medicine, Blankets"
West Outpost,High,5,996,850,1086,173,173,320,"Water, Food, Medicine, Blankets"
West Outpost,High,9,508,364,1508,315,558,912,Water
West Outpost,High,11,619,330,1651,363,526,232,Water
Central Command,High,6,587,640,1726,187,658,669,"Water, Medicine"
North Base,High,4,531,343,1597,56,25,436,"Water, Medicine, Blankets"
